,device_1_plugged_in,device_2_plugged_in,device_3_plugged_in,device_4_plugged_in,device_5_plugged_in,device_6_plugged_in,device_7_plugged_in,device_1_kWh_charged,device_2_kWh_charged,device_3_kWh_charged,device_4_kWh_charged,device_5_kWh_charged,device_6_kWh_charged,device_7_kWh_charged
2023-10-07 19:15:00+00:00,False,True,True,False,False,True,True,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 19:30:00+00:00,False,True,True,False,False,True,True,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 19:45:00+00:00,False,True,True,False,False,True,True,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 20:00:00+00:00,False,True,True,False,False,True,True,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 20:15:00+00:00,False,True,True,False,False,True,False,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.0
2023-10-07 20:30:00+00:00,False,True,True,False,False,True,False,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.0
2023-10-07 20:45:00+00:00,False,True,True,False,False,True,False,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.0
2023-10-07 21:00:00+00:00,False,True,True,False,False,True,False,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.0
2023-10-07 21:15:00+00:00,False,True,True,False,False,True,False,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.0
2023-10-07 21:30:00+00:00,False,True,True,False,False,True,False,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.0
2023-10-07 21:45:00+00:00,False,True,True,False,False,True,False,0.0,0.4459193970959596,0.5802370844594595,0.0,0.0,0.2284919773148148,0.0
