,start,n_intervals,device_id,prices
87,2024-01-05 10:00:00+00:00,95,5,"[9.822, 9.224, 9.154, 9.641, 10.005, 10.297, 10.738, 10.845, 10.396, 10.009, 9.419, 9.492, 8.68, 8.225, 8.02, 7.613, 7.301, 7.301, 7.459, 7.51, 8.139, 8.84, 9.223, 9.73]"
88,2024-01-11 14:30:00+00:00,75,5,"[13.735, 15.009, 13.669, 13.231, 11.788, 10.719, 10.0, 9.722, 9.104, 8.822, 8.522, 8.463, 8.434, 8.532, 9.211, 11.816, 14.074, 13.496, 12.201]"
89,2024-01-23 12:15:00+00:00,74,5,"[6.27, 7.463, 7.895, 8.159, 8.451, 7.455, 6.195, 5.374, 4.536, 3.326, 0.305, -0.003, -0.064, -0.441, -0.484, -0.018, 1.476, 4.209]"
90,2024-02-02 16:15:00+00:00,87,5,"[6.897, 6.334, 5.506, 4.968, 4.603, 3.605, 2.474, 1.285, 0.673, 1.051, 0.853, 0.88, 1.648, 3.417, 4.599, 4.597, 3.562, 3.042, 3.058, 3.062, 4.074, 4.37]"
91,2024-02-06 17:00:00+00:00,55,5,"[6.196, 6.116, 5.914, 5.644, 5.652, 5.236, 4.117, 3.552, 3.415, 4.659, 5.447, 5.963, 7.483, 8.667]"
92,2024-02-21 07:30:00+00:00,25,5,"[7.034, 6.41, 6.039, 5.301, 5.122, 5.377]"
93,2023-11-21 16:45:00+00:00,56,1,"[14.208000000000002, 13.235, 12.479, 11.052, 11.091, 9.804000000000002, 9.8, 9.501, 9.501, 9.2, 9.249, 9.487, 12.017, 14.073]"
94,2024-01-15 17:30:00+00:00,53,1,"[11.038, 10.242, 9.178, 8.949, 8.643, 8.145, 8.107, 7.992, 7.819, 7.697, 8.145, 9.407, 11.477]"
95,2024-01-20 11:45:00+00:00,79,1,"[6.878, 7.339, 7.911, 8.78, 9.493, 9.987, 9.157, 8.197, 7.574, 7.468, 6.913, 6.683, 5.755, 5.515, 5.089, 4.851, 4.745, 4.553, 4.396, 5.136]"
96,2023-12-06 08:30:00+00:00,4,5,[15.0]
97,2024-01-04 17:45:00+00:00,1,5,[12.5]
98,2024-01-12 13:15:00+00:00,79,5,"[11.0, 12.0, 12.75, 12.6, 11.947, 10.879, 9.848, 9.337, 8.538, 9.0, 8.5, 8.2, 7.847, 7.5, 7.492, 7.81, 8.222, 8.526, 7.511, 7.421]"
99,2024-02-07 07:00:00+00:00,0,5,[8.7]
100,2023-10-09 12:45:00+00:00,62,6,"[10.991, 11.302, 12.932, 18.922, 22.17, 18.45, 13.275, 12.0, 11.27, 10.4, 10.06, 9.990000000000002, 9.952, 9.739, 11.071, 13.0]"
101,2023-10-30 08:30:00+00:00,14,6,"[9.0, 9.617, 10.254, 11.462000000000002]"
102,2023-11-01 15:45:00+00:00,7,6,"[8.495000000000001, 7.95]"
103,2024-02-16 12:15:00+00:00,86,6,"[5.378, 6.259, 6.999, 7.258, 7.742, 7.678, 7.247, 6.94, 6.805, 6.002, 5.731, 5.7, 5.588, 5.466, 5.462, 5.548, 5.517, 5.69, 6.489, 6.329, 6.202]"
104,2024-02-17 11:00:00+00:00,14,6,"[5.826, 5.525, 5.909, 6.883]"
105,2024-02-29 11:00:00+00:00,14,6,"[5.398, 5.602, 5.507, 6.496]"
106,2023-11-09 17:15:00+00:00,0,5,[]
107,2024-01-14 16:45:00+00:00,56,1,"[9.697, 8.891, 8.1, 7.86, 7.539, 6.719, 6.79, 6.5, 6.394, 6.204, 6.204, 6.925, 7.995, 8.384]"
108,2023-11-04 10:15:00+00:00,25,5,"[2.0, 2.1140000000000003, 3.079, 4.269, 4.0, 4.876]"
109,2023-11-06 12:15:00+00:00,18,5,"[8.029000000000002, 10.008, 11.217, 13.767]"
110,2023-11-07 07:00:00+00:00,31,5,"[13.605000000000002, 11.493000000000002, 9.945, 8.903, 8.621, 8.879000000000001, 9.749, 10.807]"
111,2023-11-08 13:45:00+00:00,7,5,"[10.542000000000002, 11.681]"
112,2024-01-25 16:15:00+00:00,59,3,"[11.554, 9.879, 9.107, 8.631, 8.043, 7.516, 6.28, 6.2, 5.849, 5.773, 5.707, 5.216, 5.937, 7.112, 7.659]"
113,2023-10-14 07:45:00+00:00,7,5,"[0.108, -0.005]"
114,2023-10-23 10:45:00+00:00,17,5,"[10.322, 10.7, 12.872, 13.867, 15.497]"
115,2023-10-24 12:15:00+00:00,17,5,"[13.217, 12.916, 14.0, 14.987000000000002]"
116,2023-11-15 15:15:00+00:00,8,5,"[12.784, 12.990000000000002, 12.108, 11.01, 9.75, 9.166, 8.421, 8.546, 8.325000000000001, 7.512, 7.406, 8.11, 8.703000000000001, 10.006, 12.69, 12.999000000000002, 12.859000000000002, 12.01, 11.662, 12.263, 13.164, 14.682, 15.85, 15.824000000000002, 18.239, 14.226]"
117,2023-11-29 13:45:00+00:00,63,5,"[16.8, 20.0, 25.0, 25.0, 20.0, 16.1, 13.901, 12.85, 11.427, 10.479, 10.452, 10.22, 10.0, 10.163, 10.63, 12.941]"
118,2023-12-14 11:45:00+00:00,24,5,"[12.375, 12.413, 13.074000000000002, 12.858000000000002, 12.793, 12.616]"
119,2024-01-26 08:30:00+00:00,22,5,"[6.161, 5.914, 5.228, 4.647, 4.928, 5.011]"
120,2024-02-01 18:30:00+00:00,62,5,"[8.997, 8.329, 8.188, 7.338, 6.427, 5.994, 5.8, 5.469, 5.323, 5.507, 6.694, 7.699, 8.932, 8.59, 8.077, 7.515]"
121,2024-02-20 11:15:00+00:00,81,5,"[5.142, 5.179, 5.616, 6.308, 7.054, 7.125, 7.347, 6.848, 6.133, 5.686, 5.277, 5.065, 4.847, 4.684, 4.477, 4.539, 5.003, 6.6, 8.134, 8.511]"
122,2023-12-14 19:00:00+00:00,76,5,"[10.281, 9.62, 9.446, 8.557, 8.613, 8.293000000000001, 8.01, 7.655, 7.516, 8.041, 9.597, 10.695, 12.15, 11.744, 10.997, 10.275, 9.413, 8.83, 8.690000000000001, 8.986]"
123,2023-12-17 16:30:00+00:00,75,5,"[7.368000000000001, 7.067, 5.979, 5.8950000000000005, 5.973, 4.781000000000001, 5.29, 5.116, 4.981000000000001, 4.9030000000000005, 5.247, 6.214, 8.381, 10.338, 10.924, 10.146, 8.903, 8.117, 7.489]"
124,2023-10-25 12:00:00+00:00,80,5,"[12.447, 13.813, 14.751, 15.373, 15.462000000000002, 15.771, 13.708000000000002, 12.355, 12.006, 11.28, 8.948, 8.991, 8.749, 8.704, 8.992, 10.0, 11.708, 13.366, 14.385, 14.9, 14.637]"
125,2023-10-30 12:45:00+00:00,9,5,"[12.398, 13.945, 14.493000000000002]"
126,2023-11-01 09:15:00+00:00,17,5,"[5.140000000000001, 4.764, 5.199000000000001, 6.407]"
127,2023-12-26 11:45:00+00:00,27,5,"[0.0, 0.056, 1.003, 4.734000000000001, 5.299, 5.366, 5.305]"
128,2023-10-15 08:00:00+00:00,8,5,"[0.507, 0.004, -0.009, -0.1, -0.176, -0.023, 0.104, 8.08, 13.990000000000002, 13.498, 13.226, 11.503, 11.696, 9.528, 10.362000000000002, 9.703, 9.837, 9.663, 9.443, 9.827, 13.956, 15.937, 16.572, 15.449000000000002, 12.196, 11.682, 11.379]"
129,2023-10-16 10:00:00+00:00,24,5,"[11.379, 10.625, 10.949, 11.675, 13.896, 16.683000000000003, 21.106]"
130,2024-01-07 10:15:00+00:00,22,5,"[8.866, 8.481, 8.434, 8.801, 9.342]"
131,2024-01-07 17:45:00+00:00,57,5,"[10.355, 10.05, 9.331, 9.117, 8.386, 8.702, 8.432, 8.182, 7.911, 7.848, 8.21, 9.43, 11.11, 12.111, 11.783]"
132,2023-10-06 00:00:00+00:00,25,5,[]
133,2024-01-28 08:45:00+00:00,17,5,"[5.116, 4.575, 4.158, 4.009, 5.065]"
134,2023-10-11 17:15:00+00:00,50,1,"[12.255, 10.195, 9.886, 8.992, 7.831, 8.295, 8.373000000000001, 8.782, 8.904000000000002, 10.26, 12.65, 13.284]"
135,2023-11-21 16:00:00+00:00,2,1,[14.697]
136,2023-12-13 18:45:00+00:00,47,1,"[9.658, 9.088, 9.235, 8.425, 7.734000000000002, 7.63, 7.715, 7.719, 7.914, 8.257, 9.848, 11.967]"
137,2023-12-31 08:30:00+00:00,9,1,"[1.4, 1.051]"
138,2024-01-07 14:30:00+00:00,21,1,"[9.342, 10.177, 10.485, 10.355, 10.05]"
139,2024-01-11 17:45:00+00:00,52,1,"[13.231, 11.788, 10.719, 10.0, 9.722, 9.104, 8.822, 8.522, 8.463, 8.434, 8.532, 9.211, 11.816]"
140,2024-01-24 09:45:00+00:00,3,1,[5.078]
141,2024-01-28 15:30:00+00:00,61,1,"[7.784, 7.193, 6.988, 6.825, 5.717, 5.943, 5.6, 4.997, 4.726, 4.812, 4.797, 5.158, 6.006, 8.0, 9.357]"
142,2024-02-05 18:00:00+00:00,51,1,"[6.184, 6.048, 5.965, 5.63, 4.741, 3.504, 2.765, 0.708, 0.307, 0.194, 1.938, 5.0, 6.816]"
143,2024-02-25 11:00:00+00:00,15,1,"[5.0, 4.603, 4.984, 5.5]"
144,2024-03-04 18:45:00+00:00,47,1,"[8.052, 7.139, 6.749, 6.393, 6.196, 6.167, 6.133, 5.986, 6.056, 6.167, 7.153, 7.928]"
145,2023-10-06 11:45:00+00:00,0,2,[]
146,2023-10-20 12:45:00+00:00,71,2,"[9.531, 9.903, 10.85, 11.754, 12.029000000000002, 10.194, 8.286, 7.851000000000002, 5.644, 5.3100000000000005, 3.727, 3.974, 3.3950000000000005, 3.715, 3.514, 4.37, 6.667000000000001, 7.495000000000001, 5.871, 4.483, 3.1100000000000003, 2.08, 1.0, 1.3210000000000002, 2.8030000000000004, 8.435, 11.477, 12.840000000000002, 11.472, 9.021, 5.339, 4.933, 4.015, 3.937, 3.036, 1.861, 1.5630000000000002, 1.835, 3.4320000000000004, 3.026, 5.82, 5.45, 6.283, 5.158, 4.859000000000001, 4.4990000000000006, 2.9190000000000005, 3.186, 5.129, 7.731999999999998, 12.583, 13.529, 13.902, 12.605, 11.247, 10.218000000000002, 9.666, 9.946, 10.006, 10.128, 10.011, 9.873, 10.541, 14.29, 17.75, 19.839]"
147,2023-11-29 16:15:00+00:00,57,2,"[25.0, 20.0, 16.1, 13.901, 12.85, 11.427, 10.479, 10.452, 10.22, 10.0, 10.163, 10.63, 12.941, 16.809]"
148,2023-12-15 12:45:00+00:00,79,2,"[8.690000000000001, 8.986, 9.813, 10.433, 10.176000000000002, 9.318, 9.336, 8.836, 8.677, 7.6709999999999985, 6.720000000000001, 6.321000000000001, 6.037, 5.800000000000001, 5.41, 5.564, 5.934000000000001, 6.51, 7.989, 8.366, 8.164, 7.581, 7.140000000000001, 7.059000000000001, 7.525, 8.035, 8.371, 8.758000000000001, 8.812000000000001, 8.194, 7.491, 6.3340000000000005, 6.241, 5.312, 4.534000000000001, 4.28, 4.296, 2.869, 2.6370000000000005, 2.987, 3.903000000000001, 4.531000000000001, 5.767, 5.917000000000001, 5.4430000000000005, 4.9, 4.371, 4.004, 4.585, 5.674, 6.299, 7.661, 7.368000000000001, 7.067, 5.979, 5.8950000000000005, 5.973, 4.781000000000001, 5.29, 5.116, 4.981000000000001, 4.9030000000000005, 5.247, 6.214, 8.381, 10.338, 10.924, 10.146]"
149,2024-01-11 17:15:00+00:00,54,2,"[13.231, 11.788, 10.719, 10.0, 9.722, 9.104, 8.822, 8.522, 8.463, 8.434, 8.532, 9.211, 11.816]"
150,2024-01-22 16:45:00+00:00,53,2,"[7.735, 7.199, 6.665, 5.7, 5.589, 4.988, 1.623, 1.01, 0.937, 0.417, 1.022, 3.923, 5.976, 7.642]"
151,2023-10-06 16:45:00+00:00,54,3,"[0.005, 0.004, 0.01, 0.067, 0.6070000000000001, 2.138, 5.244, 6.7170000000000005, 7.082]"
152,2023-10-07 08:15:00+00:00,16,3,"[1.962, 1.038, 0.022, 0.1]"
153,2023-10-07 19:15:00+00:00,74,3,"[7.619, 7.2, 7.07, 7.064, 7.062000000000001, 7.061, 7.181000000000001, 7.709, 8.351, 10.0, 10.212000000000002, 10.086, 8.694, 7.651, 7.057, 5.515000000000001, 5.460000000000001, 7.08]"
154,2023-10-10 14:30:00+00:00,13,3,"[11.736, 12.742, 13.927]"
155,2023-10-12 07:30:00+00:00,32,3,"[13.090000000000002, 12.494, 11.108, 10.429000000000002, 10.838, 12.0, 12.571, 14.5, 16.990000000000002, 22.099000000000004, 15.127000000000002, 12.936000000000002, 12.35, 10.984000000000002, 12.399, 11.5, 10.714, 10.14, 10.008, 9.525, 12.943, 14.345, 14.525, 13.205000000000002, 9.9, 7.202, 3.4450000000000003, 0.73, 0.431, 0.424, 1.0, 4.648, 7.423000000000002, 7.63, 1.594, 0.505, 0.02, -0.081, -0.009, -0.187, -0.149, -0.172, -0.221, -0.208, -0.096, -0.002, 0.909, 2.06, 0.108, -0.005, -0.094, -0.109, -0.1389999999999999, -0.008, 0.06, 6.719, 11.79, 12.997, 9.691, 8.568000000000001, 7.459, 4.706, 1.467, 0.696, 0.579, 0.906, 0.572, 0.763, 0.588, 2.134, 2.458, 3.09, 0.507, 0.004, -0.009, -0.1, -0.176, -0.023, 0.104, 8.08]"
156,2023-10-21 07:45:00+00:00,91,3,"[4.483, 3.1100000000000003, 2.08, 1.0, 1.3210000000000002, 2.8030000000000004, 8.435, 11.477, 12.840000000000002, 11.472, 9.021, 5.339, 4.933, 4.015, 3.937, 3.036, 1.861, 1.5630000000000002, 1.835, 3.4320000000000004, 3.026, 5.82, 5.45, 6.283, 5.158, 4.859000000000001, 4.4990000000000006, 2.9190000000000005, 3.186, 5.129, 7.731999999999998, 12.583, 13.529, 13.902, 12.605, 11.247, 10.218000000000002, 9.666, 9.946, 10.006, 10.128, 10.011, 9.873, 10.541, 14.29, 17.75, 19.839]"
157,2023-10-23 15:30:00+00:00,54,3,"[16.519000000000002, 15.590000000000002, 12.733, 10.402, 10.795000000000002, 9.276, 10.133, 9.721, 9.454, 8.946, 9.027, 9.48, 10.165, 12.012]"
158,2023-10-27 13:30:00+00:00,74,3,"[12.641, 12.836000000000002, 13.982, 14.054, 12.089, 10.005, 9.684, 9.37, 8.459999999999999, 6.861000000000001, 6.4590000000000005, 5.5, 6.051, 6.901000000000001, 6.647, 7.990000000000002, 9.069, 8.950000000000001, 8.701, 6.979000000000001, 6.986000000000001, 6.790000000000001, 7.391, 8.700000000000001, 11.202, 13.980000000000002, 14.896, 11.883, 9.035, 8.351, 7.548000000000002, 4.748, 1.4050000000000002, 0.096, 0.001, 0.002, -0.024, -0.028, -0.039, -0.036, -0.007, 0.001, 0.0]"
